Headline,URL,Section
"El plan del viernes en el barrio El Nevado, de Manizales, fue desarmarse",https://www.lapatria.com//sucesos/el-plan-del-viernes-en-el-barrio-el-nevado-de-manizales-fue-desarmarse,Sucesos
Pequeños caballistas de zona rural de Manizales aprenden a valorar a los animales,https://www.lapatria.com//entretenimiento/pequenos-caballistas-de-zona-rural-de-manizales-aprenden-valorar-los-animales,Entretenimiento
Feria del Libro y Festival Internacional de Teatro: balance del 2024 en Un Café manizaleño,https://www.lapatria.com//cultura/feria-del-libro-y-festival-internacional-de-teatro-balance-del-2024-en-un-cafe-manizaleno,Cultura
"Harris aventaja a Trump por cinco puntos tras el debate en EE.UU., según una encuesta",https://www.lapatria.com//internacional/harris-aventaja-trump-por-cinco-puntos-tras-el-debate-en-eeuu-segun-una-encuesta,Internacional
"A dos días de su lanzamiento, el nuevo disco de Charly García ya es un éxito en Argentina",https://www.lapatria.com//entretenimiento/dos-dias-de-su-lanzamiento-el-nuevo-disco-de-charly-garcia-ya-es-un-exito-en,Entretenimiento
"Once Caldas: ""Con humildad y sacrificio debemos seguir arriba"", dice Dayro Moreno",https://www.lapatria.com//deportes/once-caldas-con-humildad-y-sacrificio-debemos-seguir-arriba-dice-dayro-moreno,Deportes
"Vía Manizales-Bogotá, cerrada este domingo por carrera ciclística: conozca rutas alternas",https://www.lapatria.com//manizales/manizales-bogota-cerrada-este-domingo-por-carrera-ciclistica-conozca-rutas-alternas,Manizales
Macondo saltará a la televisión con el estreno en forma de serie de 'Cien años de soledad,https://www.lapatria.com//entretenimiento/macondo-saltara-la-television-con-el-estreno-en-forma-de-serie-de-cien-anos-de,Entretenimiento
Once Caldas expone su liderato en Colombia ante un Deportivo Cali necesitado,https://www.lapatria.com//deportes/once-caldas-expone-su-liderato-en-colombia-ante-un-deportivo-cali-necesitado,Deportes
Aceptaron cargos dos detenidas por asesinato de recaudador de Susuerte en Riosucio,https://www.lapatria.com//sucesos/aceptaron-cargos-dos-detenidas-por-asesinato-de-recaudador-de-susuerte-en-riosucio,Sucesos
Petro acude a sus bases y a movimientos sociales tras denunciar supuestas conspiraciones,https://www.lapatria.com//nacional/petro-acude-sus-bases-y-movimientos-sociales-tras-denunciar-supuestas-conspiraciones,Nacional
Corregiduría funciona en un colegio de Manizales: hay polémica,https://www.lapatria.com//educacion/corregiduria-funciona-en-un-colegio-de-manizales-hay-polemica,Educación
La agenda deportiva la lideran el Reto Mariquita - Letras y la Serie Mundial de Karate,https://www.lapatria.com//deportes/la-agenda-deportiva-la-lideran-el-reto-mariquita-letras-y-la-serie-mundial-de-karate,Deportes
Colegios oficiales de Manizales se enfiestan con los Derechos Humanos,https://www.lapatria.com//educacion/colegios-oficiales-de-manizales-se-enfiestan-con-los-derechos-humanos,Educación
"Morat llega al fin de semana con ""Por si no te vuelvo a ver""",https://www.lapatria.com//entretenimiento/morat-llega-al-fin-de-semana-con-por-si-no-te-vuelvo-ver,Entretenimiento
Excombatiente se reencuentra con su familia tras 33 años en la costa Caribe,https://www.lapatria.com//nacional/excombatiente-se-reencuentra-con-su-familia-tras-33-anos-en-la-costa-caribe,Nacional
Ladrones se deleitan y se ensañan con el plátano de finca en Chinchiná,https://www.lapatria.com//sucesos/ladrones-se-deleitan-y-se-ensanan-con-el-platano-de-finca-en-chinchina,Sucesos
"Empresas compartieron sus estrategias de éxito en congreso de Confecámaras: Hada, presente",https://www.lapatria.com//economia/empresas-compartieron-sus-estrategias-de-exito-en-congreso-de-confecamaras-hada-presente,Economía
